"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"49",56,148,2146390,148,31991033,"Tree Cover = 48%",90,166,58,0.352941,0.65098,0.227451,477346,0.6
"50",90,182,2145972,182,36441038,"Tree Cover = 82%",19,89,11,0.07451,0.34902,0.043137,477253,0.6
"51",5,17,1809305,17,46968954,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,402380,0.5
"52",43,135,1825727,135,63165199,"Tree Cover = 35%",127,196,86,0.498039,0.768627,0.337255,406032,0.5
"53",51,143,1516386,143,26586808,"Tree Cover = 43%",103,179,68,0.403922,0.701961,0.266667,337236,0.5
"54",52,144,1636532,144,28829919,"Tree Cover = 44%",101,176,67,0.396078,0.690196,0.262745,363956,0.5
"55",91,183,1786003,183,33185805,"Tree Cover = 83%",17,87,10,0.066667,0.341176,0.039216,397198,0.5
"56",3,15,1416199,15,14399371,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,314955,0.4
"57",49,141,1286626,141,25552784,"Tree Cover = 41%",110,184,73,0.431373,0.721569,0.286275,286139,0.4
"58",50,142,1398859,142,26372996,"Tree Cover = 42%",107,181,71,0.419608,0.709804,0.278431,311099,0.4
"59",92,184,1510708,184,25434756,"Tree Cover = 84%",17,84,9,0.066667,0.329412,0.035294,335973,0.4
"60",2,14,928846,14,27916204,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,206570,0.3
"61",45,137,873362,137,21301323,"Tree Cover = 37%",119,191,80,0.466667,0.74902,0.313725,194231,0.3
"62",46,138,967367,138,23172143,"Tree Cover = 38%",118,189,79,0.462745,0.741176,0.309804,215137,0.3
"63",47,139,1069968,139,25209849,"Tree Cover = 39%",115,186,76,0.45098,0.729412,0.298039,237955,0.3
"64",48,140,1175197,140,23645421,"Tree Cover = 40%",112,186,74,0.439216,0.729412,0.290196,261358,0.3
"65",196,345,854120,345,22290833,"Herb Cover = 45%",255,156,64,1,0.611765,0.25098,189952,0.3
"66",13,63,751716,63,39156145,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,167178,0.2
