"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"42",146,2029,1889202,2029,100468043,14210,49,"14210_49_52","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,420148,0.6
"43",36,1597,1744538,1597,2545699,13652,41,"13652_41","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",939,1147,-9999,516,55,45,-9999,"V-B",110,137,70,0.431373,0.537255,0.27451,387976,0.5
"44",88,1901,1590432,1901,4771716,14720,63,"14720_61_62_63","Central Interior and Appalachian Riparian Systems","Riparian",1001,-9999,200,166,17,-9999,83,"III-B",36,255,20,0.141176,1,0.078431,353704,0.5
"45",62,1626,1218998,1626,1245284,13940,51,"13940_50_51","North-Central Interior Oak Savanna","Hardwood",66,184,5,5,7,3,90,"I-A",230,213,138,0.901961,0.835294,0.541176,271099,0.4
"46",108,1946,1441702,1946,3744610,13620,64,"13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",309,447,65,48,16,11,73,"III-A",255,191,191,1,0.74902,0.74902,320627,0.4
"47",119,1957,1373870,1957,5061996,14720,64,"14720_64_65_66","Central Interior and Appalachian Riparian Systems","Riparian",984,-9999,198,165,17,-9999,83,"III-B",36,255,20,0.141176,1,0.078431,305541,0.4
"48",5,1563,883726,1563,2559038,13100,50,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",123,49,76,24,20,48,32,"I-C",176,163,222,0.690196,0.639216,0.870588,196536,0.3
"49",7,1565,898353,1565,908969,13130,50,"13130_47_50_51","North-Central Interior Beech-Maple Forest","Hardwood",1004,-9999,836,456,45,-9999,55,"V-A",0,156,44,0,0.611765,0.172549,199789,0.3
"50",10,1569,1135514,1569,2410769,13660,50,"13660_50","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",483,1018,291,154,32,15,53,"III-B",208,255,99,0.815686,1,0.388235,252532,0.3
"51",12,1571,1056391,1571,2977985,13950,50,"13950_50","North-Central Oak Barrens","Hardwood",53,143,6,5,9,4,87,"I-A",255,235,176,1,0.921569,0.690196,234936,0.3
"52",14,1573,878037,1573,1047487,14072,50,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,34,18,48,"I-B",153,66,100,0.6,0.258824,0.392157,195271,0.3
"53",30,1589,1086734,1589,1737003,13022,41,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,-9999,-9999,2040,100,-9999,-9999,"V-B",76,230,150,0.298039,0.901961,0.588235,241684,0.3
"54",47,1610,876603,1610,5173012,14810,41,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,-9999,-9999,989,100,-9999,-9999,"V-B",232,189,255,0.909804,0.741176,1,194952,0.3
"55",72,1636,1160945,1636,1161303,14750,51,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,258188,0.3
"56",87,1900,1153998,1900,1172359,14710,63,"14710_47_48_53_54_57_59_60_61_63","Central Interior and Appalachian Floodplain Systems","Riparian",613,392,121,80,13,21,66,"III-A",0,191,176,0,0.74902,0.690196,256643,0.3
"57",118,1956,891205,1956,2850056,14710,64,"14710_64_65","Central Interior and Appalachian Floodplain Systems","Riparian",603,392,120,80,14,20,66,"III-A",0,191,176,0,0.74902,0.690196,198199,0.3
"58",124,1963,870020,1963,1379219,15180,64,"15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,-9999,-9999,993,100,-9999,-9999,"V-B",211,237,38,0.827451,0.929412,0.14902,193488,0.3
"59",134,1973,1024667,1973,4058006,14710,52,"14710_49_52","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,426,68,59,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,227880,0.3
"60",138,1977,986232,1977,1396748,15180,52,"15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,-9999,-9999,993,100,-9999,-9999,"V-B",211,237,38,0.827451,0.929412,0.14902,219333,0.3
"61",151,2724,1141603,2724,9731850,13622,41,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,-9999,40,34,15,-9999,85,"I-C",255,167,127,1,0.654902,0.498039,253886,0.3
"62",21,1580,600874,1580,815690,14750,50,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,133631,0.2
"63",23,1582,548732,1582,1505040,14790,50,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,122035,0.2
"64",41,1602,669699,1602,11046116,14072,41,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,34,18,48,"I-B",153,66,100,0.6,0.258824,0.392157,148937,0.2
"65",43,1605,809480,1605,3308600,14440,41,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",-9999,581,312,203,-9999,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765,180024,0.2
"66",65,1629,611860,1629,611886,14072,51,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,34,18,48,"I-B",153,66,100,0.6,0.258824,0.392157,136074,0.2
"67",66,1630,639431,1630,644354,14110,51,"14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,-9999,-9999,24,100,-9999,-9999,"II-C",235,255,0,0.921569,1,0,142206,0.2
"68",67,1631,635540,1631,666732,14120,51,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,141341,0.2
"69",68,1632,610356,1632,625653,14210,51,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,135740,0.2
"70",82,1895,801036,1895,9865239,13690,63,"13690_60_61_63_64_65_66","Central Appalachian Dry Oak-Pine Forest","Hardwood-Conifer",182,463,15,14,8,3,89,"I-B",0,255,220,0,1,0.862745,178146,0.2
"71",100,1915,807362,1915,4702950,14710,62,"14710_51_62","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,429,67,58,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,179553,0.2
"72",101,1916,524592,1916,5198175,14720,62,"14720_61_62_63","Central Interior and Appalachian Riparian Systems","Riparian",1001,-9999,200,166,17,-9999,83,"III-B",36,255,20,0.141176,1,0.078431,116666,0.2
"73",111,1949,769679,1949,6191534,13700,64,"13700_60_63_64_65_66","Appalachian (Hemlock-)Northern Hardwood Forest","Hardwood",1010,1122,-9999,531,53,47,-9999,"V-B",214,255,145,0.839216,1,0.568627,171172,0.2
"74",127,1966,709115,1966,5892152,13110,52,"13110_52","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,151,11,9,6,6,88,"I-B",179,207,143,0.701961,0.811765,0.560784,157703,0.2
"75",129,1968,597400,1968,1863531,13940,52,"13940_52","North-Central Interior Oak Savanna","Hardwood",552,187,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,132859,0.2
"76",130,1969,641643,1969,1626551,13950,52,"13950_41_42_43_49_52","North-Central Oak Barrens","Hardwood",341,246,5,5,1,2,97,"I-A",255,235,176,1,0.921569,0.690196,142698,0.2
"77",9,1568,375807,1568,1045558,13651,50,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,-9999,213,85,15,-9999,"V-A",147,194,114,0.576471,0.760784,0.447059,83577,0.1
"78",17,1576,354916,1576,7488424,14210,50,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,78931,0.1
"79",19,1578,181910,1578,184928,14660,50,"14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,-9999,468,13,87,-9999,"V-A",181,0,0,0.709804,0,0,40456,0.1
"80",25,1584,274184,1584,280042,14920,50,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",122,245,202,0.478431,0.960784,0.792157,60977,0.1
"81",26,1585,375808,1585,1322694,14930,50,"14930_41_42_44_50","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,-9999,-9999,17,100,-9999,-9999,"II-C",240,150,20,0.941176,0.588235,0.078431,83578,0.1
"82",27,1586,414499,1586,944949,14940,50,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,-9999,-9999,18,100,-9999,-9999,"II-C",0,168,107,0,0.658824,0.419608,92182,0.1
"83",34,1593,223107,1593,3460372,13440,41,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,-9999,-9999,82,100,-9999,-9999,"IV-A",255,140,140,1,0.54902,0.54902,49618,0.1
"84",45,1607,274055,1607,2298911,14750,41,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,60948,0.1
"85",52,1616,457772,1616,457857,13023,51,"13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","Hardwood",1016,-9999,-9999,1016,100,-9999,-9999,"V-B",38,105,0,0.14902,0.411765,0,101806,0.1
"86",57,1621,300870,1621,301608,13442,51,"13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","Conifer",112,-9999,-9999,112,100,-9999,-9999,"IV-B",135,200,114,0.529412,0.784314,0.447059,66912,0.1
"87",69,1633,405160,1633,405639,14440,51,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",-9999,581,312,203,-9999,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765,90105,0.1
"88",76,1640,199431,1640,203743,14920,51,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",122,245,202,0.478431,0.960784,0.792157,44352,0.1
"89",81,1894,392864,1894,2048091,13660,63,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,32,15,53,"III-B",208,255,99,0.815686,1,0.388235,87371,0.1
"90",89,1902,210750,1902,2191847,14750,63,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,46870,0.1
"91",93,1906,374965,1906,384979,14920,63,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",122,245,202,0.478431,0.960784,0.792157,83390,0.1
"92",94,1907,225623,1907,262379,14940,63,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,100,-9999,-9999,"V-B",0,168,107,0,0.658824,0.419608,50177,0.1
"93",95,1908,437372,1908,437469,15180,63,"15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,-9999,-9999,993,100,-9999,-9999,"V-B",211,237,38,0.827451,0.929412,0.14902,97269,0.1
"94",97,1910,251404,1910,1857781,13100,62,"13100_41_62","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",74,56,23,13,18,24,58,"I-B",176,163,222,0.690196,0.639216,0.870588,55911,0.1
"95",104,1919,414081,1919,891285,15180,62,"15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,-9999,-9999,993,100,-9999,-9999,"V-B",211,237,38,0.827451,0.929412,0.14902,92089,0.1
"96",110,1948,441236,1948,8013340,13690,64,"13690_60_61_63_64_65_66","Central Appalachian Dry Oak-Pine Forest","Hardwood-Conifer",182,463,15,14,8,3,89,"I-B",0,255,220,0,1,0.862745,98129,0.1
"97",112,1950,413176,1950,798553,13730,64,"13730_63_64","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1053,-9999,-9999,1053,100,-9999,-9999,"V-B",130,160,100,0.509804,0.627451,0.392157,91888,0.1
"98",121,1959,192226,1959,270732,14770,64,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,42750,0.1
