"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"133",103,1918,1060,1918,70731,14930,62,"14930_52_62","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,-9999,-9999,17,100,-9999,-9999,"II-C",240,150,20,0.941176,0.588235,0.078431,236,0
"134",106,1944,11,1944,3003003,13030,64,"13030_61_63_64_65_66","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,24,9,6,14,23,63,"I-B",215,185,100,0.843137,0.72549,0.392157,2,0
"135",107,1945,51623,1945,372050,13540,64,"13540_64_66","Northeastern Interior Pine Barrens","Conifer",77,31,12,8,10,24,66,"I-B",255,196,82,1,0.768627,0.321569,11481,0
"136",114,1952,4188,1952,1044756,13770,64,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,46,50,4,"III-B",255,0,77,1,0,0.301961,931,0
"137",115,1953,34124,1953,276217,13890,64,"13890_64_66","Acadian-Appalachian Subalpine Woodland and Heath-Krummholz","Shrubland",3351,1795,4331,916,27,51,22,"V-B",150,255,231,0.588235,1,0.905882,7589,0
"138",116,1954,10,1954,6301,14000,64,"14000_64","Central Appalachian Alkaline Glade and Woodland","Savanna",5,19,1604,4,78,21,1,"II-A",255,153,229,1,0.6,0.898039,2,0
"139",117,1955,13503,1955,13517,14090,64,"14090_50_64","Great Lakes Alvar","Conifer",439,3247,-9999,387,88,12,-9999,"V-A",227,235,117,0.890196,0.921569,0.458824,3003,0
"140",122,1960,63255,1960,580509,14790,64,"14790_60_61_63_64_65_66","Central Interior and Appalachian Swamp Systems","Riparian",1011,-9999,1353,578,57,-9999,43,"V-B",207,61,255,0.811765,0.239216,1,14068,0
"141",123,1962,4180,1962,37192,14940,64,"14940_64","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",794,-9999,-9999,794,100,-9999,-9999,"V-B",0,168,107,0,0.658824,0.419608,930,0
"142",125,1964,114895,1964,499216,15260,64,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,100,-9999,-9999,"V-B",232,160,255,0.909804,0.627451,1,25552,0
"143",132,1971,14806,1971,232624,14120,52,"14120_52","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,89,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,3293,0
"144",133,1972,20328,1972,1599930,14210,52,"14210_49_52","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,4521,0
"145",140,2018,72302,2018,1497206,13110,49,"13110_49","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,149,11,9,7,6,87,"I-B",179,207,143,0.701961,0.811765,0.560784,16080,0
"146",141,2019,39084,2019,138997,13130,49,"13130_49_52_62","North-Central Interior Beech-Maple Forest","Hardwood",1026,-9999,852,465,45,-9999,55,"V-A",0,156,44,0,0.611765,0.172549,8692,0
"147",142,2020,116008,2020,6928280,13140,49,"13140_49","North-Central Interior Maple-Basswood Forest","Hardwood",1030,-9999,845,464,45,-9999,55,"V-A",237,161,102,0.929412,0.631373,0.4,25800,0
"148",143,2024,616,2024,83777,13940,49,"13940_44_49","North-Central Interior Oak Savanna","Hardwood",550,189,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,137,0
"149",144,2027,751,2027,3509,14110,49,"14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,-9999,-9999,24,100,-9999,-9999,"II-C",235,255,0,0.921569,1,0,167,0
"150",145,2028,429,2028,91045,14120,49,"14120_49","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,95,0
"151",148,2033,41415,2033,987139,14710,49,"14710_49_52","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,426,68,59,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,9210,0
"152",149,2034,15150,2034,29732,14720,49,"14720_49","Central Interior and Appalachian Riparian Systems","Riparian",996,-9999,198,165,17,-9999,83,"III-B",36,255,20,0.141176,1,0.078431,3369,0
"153",150,2036,2907,2036,529307,15180,49,"15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,-9999,-9999,993,100,-9999,-9999,"V-B",211,237,38,0.827451,0.929412,0.14902,647,0
"154",152,2725,36082,2725,2200619,13620,50,"13620_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",355,680,12,11,3,2,95,"I-B",255,191,191,1,0.74902,0.74902,8024,0
