OID_,Value,Count,Clip_bps_220,Clip_evt_230,BPS_MODEL,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
1796,1796,843.000000000000000,1601,9112,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer
1797,1797,194.000000000000000,1601,7366,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer
1798,1798,251.000000000000000,1601,9312,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Northeastern North American Temperate Forest Plantation,Conifer
1799,1799,1030.000000000000000,1601,9089,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
1800,1800,143.000000000000000,1601,7362,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Northern Pine Forest,Conifer
1801,1801,4115.000000000000000,1601,7301,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
1802,1802,3.000000000000000,1600,7240,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,Laurentian-Acadian Hardwood Forest,Hardwood
1803,1803,25.000000000000000,1601,7407,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian Pine Barrens,Conifer
1804,1804,6.000000000000000,1601,9088,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer
1805,1805,10.000000000000000,1600,7238,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,Laurentian-Acadian Northern Oak Forest,Hardwood
1806,1806,985.000000000000000,1601,7299,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Developed-Roads,Developed-Roads
1807,1807,59.000000000000000,1601,7906,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Urban Evergreen Forest,Developed
1808,1808,178.000000000000000,1601,7907,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Urban Mixed Forest,Developed
1809,1809,776.000000000000000,1601,7905,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Urban Deciduous Forest,Developed
1810,1810,778.000000000000000,1601,9817,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Northern & Central Ruderal Meadow,Exotic Herbaceous
1811,1811,27.000000000000000,1601,7240,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Hardwood Forest,Hardwood
1812,1812,248.000000000000000,1601,9056,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
1813,1813,158.000000000000000,1601,7481,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
1814,1814,2409.000000000000000,1602,7240,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Laurentian-Acadian Hardwood Forest,Hardwood
1815,1815,3.000000000000000,1589,9617,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Laurentian-Acadian Floodplain Shrubland,Riparian
1816,1816,3.000000000000000,1607,9312,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Northeastern North American Temperate Forest Plantation,Conifer
1817,1817,314.000000000000000,1601,9317,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
1818,1818,35.000000000000000,1601,7909,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Urban Shrubland,Developed
1819,1819,83.000000000000000,1601,7908,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Urban Herbaceous,Developed
1820,1820,4.000000000000000,1601,9620,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Shrub Swamp,Riparian
1821,1821,10.000000000000000,1601,9120,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Wet Meadow,Riparian
1822,1822,21.000000000000000,1601,9118,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Freshwater Marsh,Riparian
