OID_,Value,Count,Clip_bps_220,Clip_evt_230,BPS_MODEL,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
1,1,9050958.000000000000000,11,7292,0,Open Water,Open Water,Open Water,Open Water
2,2,86099.000000000000000,1610,9089,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
3,3,18346.000000000000000,1610,9112,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer
4,4,5172.000000000000000,1613,9817,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous
5,5,364879.000000000000000,1597,9089,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
6,6,38461.000000000000000,1597,9112,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer
7,7,230609.000000000000000,1608,9089,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
8,8,1327278.000000000000000,1598,9089,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
9,9,68159.000000000000000,1608,9112,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer
10,10,1332.000000000000000,1597,9312,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Northeastern North American Temperate Forest Plantation,Conifer
11,11,79230.000000000000000,1597,9817,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Northern & Central Ruderal Meadow,Exotic Herbaceous
12,12,1826541.000000000000000,1608,9056,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
13,13,306022.000000000000000,1610,7481,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
14,14,16457.000000000000000,1597,7362,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer
15,15,32032.000000000000000,1597,9056,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
16,16,10917.000000000000000,1597,9317,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
17,17,534.000000000000000,1597,9601,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Great Lakes Dune Grassland,Grassland
18,18,26690.000000000000000,1608,9817,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous
19,19,9714.000000000000000,1608,7362,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Northern Pine Forest,Conifer
20,20,141144.000000000000000,1608,7301,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
21,21,739565.000000000000000,1608,7481,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
22,22,794.000000000000000,1611,9089,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
23,23,32828.000000000000000,1608,9118,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Freshwater Marsh,Riparian
24,24,2082.000000000000000,1613,9089,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
25,25,797.000000000000000,1597,9202,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Northern Great Lakes Coastal Marsh,Riparian
26,26,123359.000000000000000,1597,7481,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
27,27,1391.000000000000000,1610,9202,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Northern Great Lakes Coastal Marsh,Riparian
28,28,13413.000000000000000,1610,9817,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous
29,29,4867.000000000000000,1610,9118,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Freshwater Marsh,Riparian
30,30,869.000000000000000,1608,9312,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Northeastern North American Temperate Forest Plantation,Conifer
31,31,11064.000000000000000,1613,9056,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
32,32,30.000000000000000,1610,9601,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Great Lakes Dune Grassland,Grassland
33,33,117580.000000000000000,1610,9056,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
34,34,363.000000000000000,1610,9312,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Northeastern North American Temperate Forest Plantation,Conifer
35,35,5781.000000000000000,1597,9118,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Freshwater Marsh,Riparian
36,36,6165.000000000000000,1597,7239,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
37,37,4878.000000000000000,1610,9317,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
38,38,141095.000000000000000,1596,9056,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
39,39,1256628.000000000000000,1596,9089,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
40,40,230502.000000000000000,1597,7301,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
41,41,6468.000000000000000,1597,9088,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer
42,42,3240.000000000000000,1608,7239,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
43,43,922.000000000000000,1613,9112,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer
44,44,9274.000000000000000,1596,9312,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Northeastern North American Temperate Forest Plantation,Conifer
45,45,9945.000000000000000,1610,7362,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Northern Pine Forest,Conifer
46,46,1960.000000000000000,1610,7239,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
47,47,26125.000000000000000,1613,7481,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
48,48,40889.000000000000000,1610,7301,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
49,49,233593.000000000000000,1608,7302,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
50,50,8.000000000000000,1611,9817,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous
51,51,5.000000000000000,1611,9120,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Laurentian-Acadian Wet Meadow,Riparian
52,52,81859.000000000000000,1598,9112,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer
53,53,99804.000000000000000,1608,9057,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian
54,54,79218.000000000000000,1608,9120,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Wet Meadow,Riparian
55,55,12568.000000000000000,1608,9114,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Alkaline Fen,Riparian
56,56,293.000000000000000,1613,7362,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Northern Pine Forest,Conifer
57,57,564915.000000000000000,1597,7302,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
58,58,15803.000000000000000,1608,9317,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
59,59,24567.000000000000000,1613,9120,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Wet Meadow,Riparian
60,60,4213.000000000000000,1613,9118,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Freshwater Marsh,Riparian
61,61,1577.000000000000000,1613,9317,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
62,62,9056.000000000000000,1597,9120,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Wet Meadow,Riparian
63,63,381.000000000000000,1608,7407,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian Pine Barrens,Conifer
64,64,124854.000000000000000,1610,7302,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
65,65,666.000000000000000,1611,7481,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
66,66,28.000000000000000,1611,7301,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
67,67,128623.000000000000000,1596,9817,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Northern & Central Ruderal Meadow,Exotic Herbaceous
68,68,184816.000000000000000,1596,9112,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer
69,69,8658.000000000000000,1613,7302,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
70,70,45617.000000000000000,1596,7239,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
71,71,236090.000000000000000,1598,7481,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
72,72,17738.000000000000000,1608,9088,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer
73,73,10701.000000000000000,1597,7296,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Developed-Low Intensity,Developed-Low Intensity
74,74,1037942.000000000000000,1596,7301,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
75,75,588.000000000000000,1610,7297,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Developed-Medium Intensity,Developed-Medium Intensity
76,76,27.000000000000000,1608,9601,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Great Lakes Dune Grassland,Grassland
77,77,944.000000000000000,1597,9057,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian
78,78,96761.000000000000000,1596,7362,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer
79,79,612533.000000000000000,1596,7481,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
80,80,491.000000000000000,1597,9055,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Boreal-Laurentian Bog,Riparian
81,81,695497.000000000000000,1598,7301,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
82,82,96319.000000000000000,1598,7362,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer
83,83,500.000000000000000,1597,9114,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Alkaline Fen,Riparian
84,84,68119.000000000000000,1608,9055,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Boreal-Laurentian Bog,Riparian
85,85,96983.000000000000000,1608,9620,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Shrub Swamp,Riparian
86,86,38010.000000000000000,1596,9317,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
87,87,896.000000000000000,1608,9202,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Northern Great Lakes Coastal Marsh,Riparian
88,88,30466.000000000000000,1610,9620,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Shrub Swamp,Riparian
89,89,21431.000000000000000,1610,9120,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Wet Meadow,Riparian
90,90,22638.000000000000000,1613,9620,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Shrub Swamp,Riparian
91,91,2031840.000000000000000,1596,7302,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
92,92,1569.000000000000000,1596,9055,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Boreal-Laurentian Bog,Riparian
93,93,1049.000000000000000,1596,9202,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Northern Great Lakes Coastal Marsh,Riparian
94,94,29483.000000000000000,1596,9120,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Wet Meadow,Riparian
95,95,1634.000000000000000,1613,9202,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Northern Great Lakes Coastal Marsh,Riparian
96,96,37215.000000000000000,1596,9620,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Shrub Swamp,Riparian
97,97,62.000000000000000,1611,9112,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer
98,98,3.000000000000000,1611,9620,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Laurentian-Acadian Shrub Swamp,Riparian
99,99,1.000000000000000,1611,9114,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Laurentian-Acadian Alkaline Fen,Riparian
100,100,2.000000000000000,1611,9118,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Laurentian-Acadian Freshwater Marsh,Riparian
101,101,7231.000000000000000,1597,9620,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Shrub Swamp,Riparian
102,102,1429.000000000000000,1613,9617,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Floodplain Shrubland,Riparian
103,103,4.000000000000000,1611,9317,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
104,104,23988.000000000000000,1596,9088,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer
105,105,77488.000000000000000,1596,9117,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Floodplain Forest,Riparian
106,106,7106.000000000000000,1596,9295,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood
107,107,8786.000000000000000,1596,9118,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Freshwater Marsh,Riparian
108,108,38.000000000000000,1611,9056,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
109,109,1699.000000000000000,1596,9114,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Alkaline Fen,Riparian
110,110,4026.000000000000000,1596,9057,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian
111,111,20452.000000000000000,1598,9317,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
112,112,59384.000000000000000,1598,9817,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Northern & Central Ruderal Meadow,Exotic Herbaceous
113,113,1.000000000000000,1611,9055,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Boreal-Laurentian Bog,Riparian
114,114,331.000000000000000,1611,7362,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Laurentian-Acadian Northern Pine Forest,Conifer
115,115,5662.000000000000000,1610,9055,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Boreal-Laurentian Bog,Riparian
116,116,4470.000000000000000,1610,9057,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian
117,117,53.000000000000000,1613,7239,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
118,118,42115.000000000000000,1597,7977,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Eastern Cool Temperate Pasture and Hayland,Agricultural
119,119,465049.000000000000000,1596,7977,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Eastern Cool Temperate Pasture and Hayland,Agricultural
120,120,2616.000000000000000,1613,7301,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
121,121,14785.000000000000000,1597,9117,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Floodplain Forest,Riparian
122,122,7476.000000000000000,1613,9057,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian
123,123,248.000000000000000,1596,7242,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian Oak Barrens,Hardwood
124,124,1257.000000000000000,1613,9114,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Alkaline Fen,Riparian
125,125,263.000000000000000,1596,7243,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian Pine-Oak Barrens,Conifer-Hardwood
126,126,1662.000000000000000,1597,9295,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood
127,127,36172.000000000000000,1610,9117,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Floodplain Forest,Riparian
128,128,9911.000000000000000,1613,9117,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Floodplain Forest,Riparian
129,129,3013.000000000000000,1596,7238,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood
130,130,4364.000000000000000,1610,9088,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer
131,131,163463.000000000000000,1598,9056,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
132,132,526314.000000000000000,1598,7302,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
133,133,97605.000000000000000,1608,9117,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Floodplain Forest,Riparian
134,134,19734.000000000000000,1596,7905,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Eastern Cool Temperate Urban Deciduous Forest,Developed
135,135,23247.000000000000000,1608,7977,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Eastern Cool Temperate Pasture and Hayland,Agricultural
136,136,86.000000000000000,-1111,7301,-1111,Fill-Not Mapped,Fill-Not Mapped,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
137,137,1668.000000000000000,1598,9114,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Alkaline Fen,Riparian
138,138,123467.000000000000000,1598,9088,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer
139,139,51.000000000000000,1593,7238,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood
140,140,835.000000000000000,1598,7238,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood
141,141,6583.000000000000000,1598,9118,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Freshwater Marsh,Riparian
142,142,279.000000000000000,-1111,7292,-1111,Fill-Not Mapped,Fill-Not Mapped,Open Water,Open Water
143,143,29548.000000000000000,1598,7239,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
144,144,29496.000000000000000,1598,9295,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood
145,145,59443.000000000000000,1593,9089,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
146,146,23322.000000000000000,1593,7302,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
147,147,8270.000000000000000,1598,9120,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Wet Meadow,Riparian
148,148,36740.000000000000000,1605,9089,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer
149,149,14260.000000000000000,1593,9088,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer
150,150,4378.000000000000000,1593,7362,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer
151,151,1587.000000000000000,1610,9114,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Alkaline Fen,Riparian
152,152,38846.000000000000000,1593,7301,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
153,153,2569.000000000000000,1598,9057,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian
154,154,657.000000000000000,1610,9295,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood
155,155,4874.000000000000000,1605,9088,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer
156,156,1893.000000000000000,1605,7362,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer
157,157,254399.000000000000000,1605,9056,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
158,158,21075.000000000000000,1593,7481,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
159,159,15883.000000000000000,1605,9118,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Laurentian-Acadian Freshwater Marsh,Riparian
