"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"48",63,220,183031,220,18587276,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,40705,0.1
"49",73,230,448268,230,24747653,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,99692,0.1
"50",74,301,257409,301,45690172,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,57246,0.1
"51",75,302,280770,302,357930043,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,62442,0.1
"52",77,304,370725,304,397781502,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,82447,0.1
"53",78,305,496546,305,89385730,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,110429,0.1
"54",10,31,67658,31,110941119,"Barren",191,191,191,0.74902,0.74902,0.74902,15047,0
"55",17,69,2431,69,2081810,"NASS-Aquaculture",210,255,237,0.823529,1,0.929412,541,0
"56",18,101,5254,101,23978382,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,1168,0
"57",19,102,17224,102,19983841,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,3831,0
"58",20,103,67042,103,33768345,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,14910,0
"59",21,104,91615,104,36723688,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,20375,0
"60",42,125,112691,125,66488811,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,25062,0
"61",43,126,28086,126,38847407,"Tree Height = 26 meters",79,158,51,0.309804,0.619608,0.2,6246,0
"62",44,138,33,138,20171190,"Tree Height = 38 meters",36,112,21,0.141176,0.439216,0.082353,7,0
"63",45,202,6,202,136990412,"Shrub Height = 0.2 meter",212,174,121,0.831373,0.682353,0.47451,1,0
"64",46,203,2415,203,190257357,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,537,0
"65",47,204,7824,204,213842140,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,1740,0
"66",48,205,126730,205,162002292,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,28184,0
"67",49,206,83436,206,147479762,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,18556,0
"68",50,207,58147,207,156580406,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,12932,0
"69",52,209,63065,209,104787172,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,14025,0
"70",53,210,95313,210,43505615,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,21197,0
"71",54,211,80155,211,60993359,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,17826,0
"72",55,212,118812,212,38607461,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,26423,0
"73",56,213,108258,213,22507662,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,24076,0
"74",57,214,155687,214,20687096,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,34624,0
"75",62,219,166861,219,14202539,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,37109,0
"76",64,221,111039,221,12295477,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,24694,0
"77",65,222,98146,222,13335129,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,21827,0
"78",66,223,58821,223,10081173,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,13081,0
"79",67,224,56899,224,10891914,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,12654,0
"80",68,225,27177,225,7385668,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,6044,0
"81",69,226,30196,226,8470983,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,6715,0
"82",70,227,9198,227,6337719,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,2046,0
"83",71,228,14882,228,6510582,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,3310,0
"84",72,229,5431,229,4373514,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,1208,0
