OID_,Value,Count,Clip_bps_220,Clip_scls_230,BPS_MODEL,BPS_NAME,GROUPVEG,LABEL
18,18,21072.000000000000000,1610,7,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UE
19,19,5517512.000000000000000,1596,4,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,D
20,20,204917.000000000000000,1596,7,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,UE
21,21,22543.000000000000000,1610,2,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
22,22,12.000000000000000,1611,7,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,UE
23,23,8.000000000000000,1611,2,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,B
24,24,108845.000000000000000,1596,1,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,A
25,25,119766.000000000000000,1608,6,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UN
26,26,99145.000000000000000,1613,6,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,UN
27,27,202436.000000000000000,1608,1,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,A
28,28,437749.000000000000000,1598,6,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,UN
29,29,5894.000000000000000,1613,2,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,B
30,30,106931.000000000000000,1597,120,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Developed
31,31,16987.000000000000000,1610,120,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Developed
32,32,94713.000000000000000,1596,3,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,C
33,33,5.000000000000000,1611,3,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,C
34,34,93676.000000000000000,1598,7,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,UE
35,35,288.000000000000000,1596,2,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,B
36,36,44529.000000000000000,1597,180,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Agriculture
37,37,524109.000000000000000,1596,180,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Agriculture
38,38,369087.000000000000000,1596,120,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Developed
39,39,24496.000000000000000,1608,180,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Agriculture
40,40,426.000000000000000,-1111,-1111,-1111,Fill-Not Mapped,Fill-Not Mapped,Fill-Not Mapped
41,41,53381.000000000000000,1598,1,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,A
42,42,114924.000000000000000,1593,3,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,C
43,43,72908.000000000000000,1593,5,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,E
44,44,381129.000000000000000,1605,3,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,C
45,45,386178.000000000000000,1605,6,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,UN
46,46,14968.000000000000000,1610,180,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Agriculture
47,47,10572.000000000000000,1613,180,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Agriculture
48,48,8496.000000000000000,1593,7,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,UE
49,49,13628.000000000000000,1598,3,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,C
50,50,10062.000000000000000,1605,7,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,UE
51,51,625802.000000000000000,2724,2,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,B
52,52,230304.000000000000000,2724,4,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,D
53,53,11109.000000000000000,1593,1,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,A
54,54,7065.000000000000000,1593,6,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,UN
55,55,80452.000000000000000,2724,120,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,Developed
56,56,75551.000000000000000,2724,7,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,UE
57,57,113437.000000000000000,1598,120,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Developed
58,58,39144.000000000000000,2724,6,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,UN
59,59,27698.000000000000000,2724,1,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,A
60,60,64721.000000000000000,1608,120,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Developed
61,61,9568.000000000000000,1605,2,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,B
62,62,196077.000000000000000,1607,6,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,UN
63,63,13156.000000000000000,1605,120,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Developed
64,64,4485.000000000000000,1598,132,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Barren or Sparse
65,65,2652.000000000000000,1605,1,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,A
66,66,6811.000000000000000,1593,120,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,Developed
67,67,6313.000000000000000,1605,180,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Agriculture
68,68,25.000000000000000,1592,6,13310_39_40_41,Eastern Great Plains Tallgrass Aspen Parkland,Hardwood,UN
69,69,1.000000000000000,1592,3,13310_39_40_41,Eastern Great Plains Tallgrass Aspen Parkland,Hardwood,C
70,70,53.000000000000000,1613,1,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,A
71,71,736.000000000000000,1608,5,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,E
72,72,31126.000000000000000,1598,180,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Agriculture
73,73,1387664.000000000000000,1588,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
74,74,54433.000000000000000,1607,3,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,C
75,75,833794.000000000000000,1588,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
76,76,4416.000000000000000,1607,2,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,B
77,77,5378.000000000000000,1607,7,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,UE
78,78,65.000000000000000,1606,3,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,C
79,79,181.000000000000000,1605,4,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,D
80,80,509684.000000000000000,1602,3,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,C
81,81,2431.000000000000000,1596,132,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Barren or Sparse
82,82,6595.000000000000000,1607,120,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Developed
83,83,3395.000000000000000,1613,120,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Developed
84,84,78596.000000000000000,1588,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
85,85,1693.000000000000000,1593,180,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,Agriculture
86,86,39328.000000000000000,1588,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
87,87,49501.000000000000000,1597,132,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Barren or Sparse
88,88,37909.000000000000000,1602,120,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Developed
89,89,68769.000000000000000,1588,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
90,90,97183.000000000000000,1602,7,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,UE
91,91,82.000000000000000,1593,4,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,D
92,92,239.000000000000000,1613,3,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,C
93,93,6786.000000000000000,1602,1,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,A
94,94,189080.000000000000000,1588,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
95,95,286.000000000000000,1606,6,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,UN
96,96,15.000000000000000,1606,120,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,Developed
97,97,540.000000000000000,1610,132,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Barren or Sparse
98,98,611.000000000000000,1602,2,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,B
99,99,180213.000000000000000,1588,180,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Agriculture
100,100,19.000000000000000,1593,132,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,Barren or Sparse
101,101,35.000000000000000,1602,4,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,D
102,102,17369.000000000000000,1602,180,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Agriculture
103,103,122.000000000000000,1602,132,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Barren or Sparse
104,104,48872.000000000000000,2724,180,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,Agriculture
105,105,67658.000000000000000,31,132,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,Barren or Sparse
106,106,150273.000000000000000,1624,7,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,UE
107,107,19347.000000000000000,1624,1,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,A
108,108,2103360.000000000000000,1624,4,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,D
109,109,11936704.000000000000000,1639,4,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D
110,110,1788596.000000000000000,1620,4,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,D
111,111,40920.000000000000000,1624,3,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,C
112,112,319249.000000000000000,1624,120,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Developed
113,113,329483.000000000000000,1620,120,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,Developed
114,114,212877.000000000000000,1639,120,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Developed
115,115,355456.000000000000000,1620,3,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,C
116,116,343901.000000000000000,1620,7,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,UE
117,117,5784.000000000000000,1640,120,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Developed
118,118,4021759.000000000000000,1637,4,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,D
119,119,63805.000000000000000,1640,6,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,UN
120,120,3013555.000000000000000,1639,3,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C
121,121,1534901.000000000000000,1637,3,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,C
122,122,227099.000000000000000,1639,7,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UE
123,123,69398.000000000000000,1637,120,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Developed
124,124,2828.000000000000000,1640,3,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,C
125,125,4330901.000000000000000,1625,4,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,D
126,126,839080.000000000000000,1639,1,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,A
127,127,667481.000000000000000,1624,180,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Agriculture
128,128,28359.000000000000000,1640,2,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,B
129,129,513312.000000000000000,1639,2,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
130,130,188471.000000000000000,1637,1,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,A
131,131,14965.000000000000000,1620,1,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,A
132,132,244843.000000000000000,1637,2,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,B
133,133,34897.000000000000000,1620,180,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,Agriculture
134,134,551999.000000000000000,1636,6,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,UN
135,135,524200.000000000000000,1636,3,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,C
136,136,202657.000000000000000,1639,180,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Agriculture
137,137,68676.000000000000000,1637,7,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UE
138,138,4049928.000000000000000,1623,4,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,D
139,139,131.000000000000000,1624,2,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,B
140,140,111234.000000000000000,1621,3,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,C
141,141,97386.000000000000000,1621,6,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,UN
142,142,9888566.000000000000000,1614,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
143,143,3157658.000000000000000,1614,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
144,144,56060.000000000000000,1640,7,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,UE
145,145,301486.000000000000000,1623,7,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,UE
146,146,2390522.000000000000000,1614,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
147,147,1898957.000000000000000,1614,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
148,148,471971.000000000000000,1623,120,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Developed
149,149,1853107.000000000000000,1614,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
150,150,4190842.000000000000000,1614,180,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Agriculture
151,151,98424.000000000000000,1637,6,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UN
152,152,30891.000000000000000,1621,120,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,Developed
153,153,80020.000000000000000,1623,3,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,C
154,154,1302.000000000000000,1608,132,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Barren or Sparse
155,155,13336.000000000000000,2724,5,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,E
156,156,1500.000000000000000,1588,132,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Barren or Sparse
157,157,233261.000000000000000,1614,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
158,158,444807.000000000000000,1625,7,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,UE
159,159,29062.000000000000000,1625,3,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,C
160,160,872852.000000000000000,1625,120,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,Developed
161,161,70197.000000000000000,1620,6,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,UN
162,162,743384.000000000000000,1623,180,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Agriculture
163,163,27089.000000000000000,1621,7,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,UE
164,164,40655.000000000000000,1625,1,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,A
165,165,40840.000000000000000,1623,1,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,A
166,166,2012444.000000000000000,1622,120,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Developed
167,167,7047697.000000000000000,1622,2,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,B
168,168,35135.000000000000000,1625,2,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,B
169,169,2950496.000000000000000,1622,180,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Agriculture
170,170,594927.000000000000000,1622,3,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,C
171,171,1118102.000000000000000,1628,5,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,E
172,172,1649572.000000000000000,1622,7,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,UE
173,173,4414459.000000000000000,1615,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
174,174,6063.000000000000000,1621,2,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,B
175,175,1135044.000000000000000,1615,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
176,176,4291.000000000000000,1637,5,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,E
177,177,2891432.000000000000000,1625,180,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,Agriculture
178,178,127.000000000000000,1623,2,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,B
179,179,4761.000000000000000,1640,180,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Agriculture
180,180,577.000000000000000,1614,1,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,A
181,181,15979.000000000000000,1636,120,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Developed
182,182,21744.000000000000000,1636,7,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,UE
183,183,51750.000000000000000,1622,1,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,A
184,184,23075.000000000000000,1637,180,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Agriculture
185,185,444.000000000000000,2724,132,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,Barren or Sparse
186,186,1.000000000000000,1606,132,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,Barren or Sparse
187,187,105.000000000000000,1613,132,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Barren or Sparse
188,188,241.000000000000000,1605,132,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Barren or Sparse
189,189,11.000000000000000,1606,7,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,UE
190,190,14.000000000000000,1606,180,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,Agriculture
191,191,10004.000000000000000,1591,3,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,C
192,192,919.000000000000000,1591,120,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,Developed
193,193,2097.000000000000000,1591,6,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,UN
194,194,366.000000000000000,1591,7,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,UE
195,195,401.000000000000000,1588,1,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,A
196,196,787.000000000000000,1591,180,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,Agriculture
197,197,7099.000000000000000,1607,180,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Agriculture
198,198,635.000000000000000,1641,2,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,B
199,199,4076.000000000000000,1641,6,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,UN
200,200,409548.000000000000000,1615,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
201,201,708188.000000000000000,1615,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
202,202,27904.000000000000000,1621,180,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,Agriculture
203,203,2322928.000000000000000,1615,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
204,204,1339718.000000000000000,1615,180,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Agriculture
205,205,16595.000000000000000,1614,132,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Barren or Sparse
206,206,245.000000000000000,1591,2,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,B
207,207,18784.000000000000000,1590,4,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,D
208,208,1290.000000000000000,1590,5,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,E
209,209,5069.000000000000000,1590,3,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,C
210,210,13.000000000000000,1591,132,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,Barren or Sparse
211,211,11.000000000000000,1607,132,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Barren or Sparse
212,212,19422.000000000000000,1636,2,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,B
213,213,27447.000000000000000,1636,180,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Agriculture
214,214,264.000000000000000,1621,132,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,Barren or Sparse
215,215,4353.000000000000000,1639,132,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Barren or Sparse
216,216,4294.000000000000000,1623,132,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Barren or Sparse
217,217,3429.000000000000000,1624,132,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Barren or Sparse
218,218,3616.000000000000000,1641,4,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,D
219,219,119853.000000000000000,1615,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
220,220,46.000000000000000,1607,1,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,A
221,221,5283.000000000000000,1620,2,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,B
222,222,101404.000000000000000,1633,6,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,UN
223,223,277846.000000000000000,1633,3,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,C
224,224,4757.000000000000000,1633,7,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,UE
225,225,54324.000000000000000,1634,3,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,C
226,226,266.000000000000000,1634,180,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,Agriculture
