OID_,Value,Count,Clip_bps_220,Clip_scls_230,BPS_MODEL,BPS_NAME,GROUPVEG,LABEL
1,1,9050958.000000000000000,11,111,0,Open Water,Open Water,Water
2,2,691540.000000000000000,1610,4,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D
3,3,7811.000000000000000,1613,7,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,UE
4,4,1392868.000000000000000,1597,4,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,D
5,5,1950930.000000000000000,1608,4,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,D
6,6,2855013.000000000000000,1598,2,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,B
7,7,22356.000000000000000,1597,3,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,C
8,8,97238.000000000000000,1597,7,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,UE
9,9,860.000000000000000,1597,2,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,B
10,10,1408881.000000000000000,1608,3,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,C
11,11,33662.000000000000000,1610,3,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C
12,12,30255.000000000000000,1597,1,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,A
13,13,50343.000000000000000,1608,7,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UE
14,14,2019.000000000000000,1611,6,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,UN
15,15,95202.000000000000000,1608,2,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,B
16,16,22953.000000000000000,1613,4,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,D
17,17,75291.000000000000000,1610,1,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,A
