"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"47",35,7407,562270,7407,936042,"Laurentian Pine Barrens",7407,2407,"Tr Laurentian Pine Barrens","Tree","Conifer",676,"Jack Pine Forest","SAF 15: Red Pine","Tree-dominated","Sparse tree canopy","Evergreen sparse tree canopy",174,245,224,0.682353,0.960784,0.878431,125046,0.2
"48",59,7925,756957,7925,6006981,"Eastern Cool Temperate Developed Deciduous Forest",7925,2908,"Dtd Developed Deciduous Forest","Tree","Developed",13,"Developed-Upland Deciduous Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Deciduous open tree canopy",64,61,168,0.25098,0.239216,0.658824,168343,0.2
"49",67,7973,751716,7973,3650116,"Eastern Cool Temperate Row Crop - Close Grown Crop",7973,2963,"Da Row Crop - Close Grown Crop","Agriculture","Agricultural",63,"Agricultural-Row Crop-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,245,140,1,0.960784,0.54902,167178,0.2
"50",100,9177,665179,9177,2969635,"North-Central Interior and Appalachian Acidic Peatland Woodland",9177,2479,"Tr Central Interior and Appalachian Swamp Systems","Tree","Riparian",694,"Atlantic Swamp Forests","LF 72: Peatland Forests","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",0,92,0,0,0.360784,0,147932,0.2
"51",103,9180,558973,9180,3216266,"North-Central Interior Freshwater Marsh",9180,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",91,195,199,0.356863,0.764706,0.780392,124313,0.2
"52",108,9185,820351,9185,5264787,"Northern Appalachian-Acadian Conifer-Hardwood Acidic Swamp",9185,2526,"Tr Laurentian-Acadian Swamp Systems","Tree","Riparian",694,"Atlantic Swamp Forests","SAF 33: Red Spruce-Balsam Fir","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",186,54,14,0.729412,0.211765,0.054902,182442,0.2
"53",118,9317,771573,9317,14735207,"Northern & Central Ruderal Shrubland",9317,2568,"Sh Northern & Central Ruderal Meadow & Shrubland","Shrub","Exotic Tree-Shrub",706,"Introduced Upland Vegetation-Shrub","LF 52: Introduced Upland Vegetation - Shrub","Shrub-dominated","Shrubland","Deciduous shrubland",255,105,46,1,0.411765,0.180392,171594,0.2
"54",125,9620,711753,9620,3252715,"Laurentian-Acadian Shrub Swamp",9120,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,92,38,1,0.360784,0.14902,158290,0.2
"55",129,9683,778514,9683,1852480,"North-Central Interior Wet Meadow",9183,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",91,195,199,0.356863,0.764706,0.780392,173137,0.2
"56",11,7295,257568,7295,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",7295,32,"Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",32,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","LF 20: Developed","Non-vegetated","Non-vegetated","Developed",230,232,250,0.901961,0.909804,0.980392,57282,0.1
"57",29,7374,460361,7374,7707233,"Acadian-Appalachian Montane Spruce-Fir Forest",7374,2374,"Tr Acadian-Appalachian Montane Spruce-Fir Forest","Tree","Conifer-Hardwood",693,"Spruce-Fir-Hardwood Forest","SAF 33: Red Spruce-Balsam Fir","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",186,54,14,0.729412,0.211765,0.054902,102382,0.1
"58",44,7466,190639,7466,191581,"Great Lakes Wooded Dune and Swale",7466,2466,"Tr Great Lakes Wooded Dune and Swale","Tree","Riparian",675,"Inland Marshes and Prairies","SAF 1: Jack Pine","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",174,245,224,0.682353,0.960784,0.878431,42397,0.1
"59",49,7518,327419,7518,769367,"North-Central Interior Wet Flatwoods",7518,2518,"Tr North-Central Interior Wet Flatwoods","Tree","Riparian",673,"Hardwood Flatwoods","SAF 65: Pin Oak-Sweetgum","Tree-dominated","Open tree canopy","Deciduous open tree canopy",145,255,115,0.568627,1,0.45098,72816,0.1
"60",50,7554,433565,7554,2848108,"Acadian Low-Elevation Hardwood Forest",7373,2554,"Tr Acadian Low-Elevation Hardwood Forest","Tree","Hardwood",693,"Spruce-Fir-Hardwood Forest","SAF 33: Red Spruce-Balsam Fir","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",186,54,14,0.729412,0.211765,0.054902,96423,0.1
"61",51,7555,193269,7555,45112229,"Acadian Low-Elevation Spruce-Fir-Hardwood Forest",7373,2555,"Tr Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Tree","Conifer-Hardwood",693,"Spruce-Fir-Hardwood Forest","SAF 33: Red Spruce-Balsam Fir","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",186,54,14,0.729412,0.211765,0.054902,42982,0.1
"62",60,7926,313715,7926,2395984,"Eastern Cool Temperate Developed Evergreen Forest",7926,2909,"Dtc Developed Evergreen Forest","Tree","Developed",14,"Developed-Upland Evergreen Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Evergreen open tree canopy",102,119,205,0.4,0.466667,0.803922,69769,0.1
"63",61,7927,465494,7927,4783404,"Eastern Cool Temperate Developed Mixed Forest",7927,2910,"Dtm Developed Mixed Deciduous-Evergreen Forest","Tree","Developed",15,"Developed-Upland Mixed Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",68,79,137,0.266667,0.309804,0.537255,103523,0.1
"64",63,7929,498035,7929,4145420,"Eastern Cool Temperate Developed Herbaceous",7929,2911,"Dgr Developed Herbaceous","Herb","Developed",16,"Developed-Upland Herbaceous","LF 20: Developed","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",158,170,215,0.619608,0.666667,0.843137,110760,0.1
"65",65,7971,351961,7971,377110,"Eastern Cool Temperate Vineyard",7971,2961,"Da Vineyard","Agriculture","Agricultural",61,"Agricultural-Vineyard","LF 80: Agriculture","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",168,0,132,0.658824,0,0.517647,78274,0.1
"66",66,7972,205027,7972,632664,"Eastern Cool Temperate Bush fruit and berries",7972,2962,"Dab Bush Fruit and Berries","Shrub","Agricultural",62,"Agricultural-Bush fruit and berries","LF 80: Agriculture","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",210,28,119,0.823529,0.109804,0.466667,45597,0.1
"67",75,9055,327669,9055,1476550,"Boreal-Laurentian Bog",9055,2477,"Tr Boreal Acidic Peatland Systems","Shrub","Riparian",683,"Peatland Forests","SAF 13: Black Spruce-Tamarack","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",186,163,119,0.729412,0.639216,0.466667,72872,0.1
"68",77,9057,235095,9057,1622012,"Boreal-Laurentian-Acadian Acidic Basin Fen",9057,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,92,38,1,0.360784,0.14902,52284,0.1
"69",81,9088,208713,9088,878108,"Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest",9088,2344,"Tr Boreal Jack Pine-Black Spruce Forest","Tree","Conifer",676,"Jack Pine Forest","SAF 1: Jack Pine","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",174,245,224,0.682353,0.960784,0.878431,46417,0.1
"70",97,9174,443621,9174,3626497,"North-Central Appalachian Acidic Swamp",9174,2479,"Tr Central Interior and Appalachian Swamp Systems","Tree","Riparian",694,"Atlantic Swamp Forests","LF 72: Peatland Forests","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",0,92,0,0,0.360784,0,98659,0.1
"71",106,9183,299002,9183,674351,"North-Central Interior Shrub Swamp",9183,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",91,195,199,0.356863,0.764706,0.780392,66496,0.1
"72",116,9314,500359,9314,2172532,"Northern & Central Native Ruderal Flooded & Swamp Forest",9314,2565,"Tr Northern & Central Native Ruderal Flooded & Swamp Forest","Tree","Riparian",740,"Ruderal Forest","LF 53: Ruderal Forest","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",255,105,46,1,0.411765,0.180392,111277,0.1
"73",119,9318,493555,9318,3607567,"Northern & Central Ruderal Wet Meadow & Marsh",9318,2569,"He Northern & Central Ruderal Wet Meadow & Marsh","Herb","Riparian",709,"Introduced Herbaceous Wetland Vegetation","LF 59: Introduced Herbaceous Wetland and Riparian Vegetation","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,109764,0.1
"74",4,7242,132321,7242,394116,"Laurentian Oak Barrens",7407,2242,"Tr Laurentian Oak Barrens","Tree","Hardwood",676,"Jack Pine Forest","SAF 15: Red Pine","Tree-dominated","Sparse tree canopy","Deciduous sparse tree canopy",174,245,224,0.682353,0.960784,0.878431,29427,0
"75",5,7243,41408,7243,208705,"Laurentian Pine-Oak Barrens",7407,2243,"Tr Laurentian Pine-Oak Barrens","Tree","Conifer-Hardwood",676,"Jack Pine Forest","SAF 15: Red Pine","Tree-dominated","Sparse tree canopy","Mixed evergreen-deciduous sparse tree canopy",174,245,224,0.682353,0.960784,0.878431,9209,0
"76",6,7272,2813,7272,14784,"Eastern Boreal Floodplain Shrubland",7444,2444,"Tr Eastern Boreal Floodplain","Shrub","Riparian",666,"Eastern Floodplain Forests","SAF 39: Black Ash-American Elm-Red Maple","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",50,137,168,0.196078,0.537255,0.658824,626,0
"77",7,7288,3,7288,7300,"Acadian-Appalachian Alpine Tundra Meadow",7386,2386,"Sh Acadian-Appalachian Alpine Tundra","Herb","Grassland",651,"Alpine-Subalpine Barrens","LF 55: Appalachian Grass and Shrub Balds","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",82,52,34,0.321569,0.203922,0.133333,1,0
"78",8,7289,3175,7289,75779,"Acadian-Appalachian Subalpine Heath-Krummholz",7389,2389,"Tr Acadian-Appalachian Subalpine Woodland and Heath-Krummholz","Shrub","Shrubland",651,"Alpine-Subalpine Barrens","LF 55: Appalachian Grass and Shrub Balds","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",82,52,34,0.321569,0.203922,0.133333,706,0
"79",9,7290,29845,7290,65542,"North-Central Oak Barrens Herbaceous",7395,2395,"Tr North-Central Oak Barrens","Herb","Grassland",663,"Black Oak Woodland and Savanna","SAF 14: Northern Pin Oak","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",44,127,163,0.172549,0.498039,0.639216,6637,0
"80",23,7354,29548,7354,193429,"Northeastern Interior Pine Barrens",7354,2354,"Tr Northeastern Interior Pine Barrens","Tree","Conifer",686,"Pitch Pine Woodlands","SAF 45: Pitch Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",116,214,204,0.454902,0.839216,0.8,6571,0
"81",26,7369,4,7369,1978379,"Central Appalachian Dry Pine Forest",7369,2369,"Tr Central Appalachian Dry Pine Forest","Tree","Conifer",664,"Chestnut Oak-Virginia Pine Forest and Woodland","SAF 44: Chestnut Oak","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",13,69,133,0.05098,0.270588,0.521569,1,0
"82",30,7377,59,7377,1063087,"Central Appalachian Pine Rocky Woodland",7377,2377,"Tr Central Appalachian Rocky Pine Woodland","Tree","Conifer",664,"Chestnut Oak-Virginia Pine Forest and Woodland","SAF 44: Chestnut Oak","Tree-dominated","Open tree canopy","Evergreen open tree canopy",13,69,133,0.05098,0.270588,0.521569,13,0
"83",31,7386,6,7386,19251,"Acadian-Appalachian Alpine Tundra Shrubland",7386,2386,"Sh Acadian-Appalachian Alpine Tundra","Shrub","Shrubland",651,"Alpine-Subalpine Barrens","LF 55: Appalachian Grass and Shrub Balds","Shrub-dominated","Dwarf-shrubland","Mixed evergreen-deciduous dwarf-shrubland",82,52,34,0.321569,0.203922,0.133333,1,0
"84",32,7389,2595,7389,103095,"Acadian-Appalachian Subalpine Woodland",7389,2389,"Tr Acadian-Appalachian Subalpine Woodland and Heath-Krummholz","Tree","Conifer",651,"Alpine-Subalpine Barrens","LF 55: Appalachian Grass and Shrub Balds","Tree-dominated","Open tree canopy","Evergreen open tree canopy",82,52,34,0.321569,0.203922,0.133333,577,0
"85",33,7394,3538,7394,11508,"North-Central Interior Oak Savanna",7394,2394,"Tr North-Central Interior Oak Savanna","Tree","Hardwood",659,"Bur Oak Woodland and Savanna","SAF 42: Bur Oak","Tree-dominated","Sparse tree canopy","Deciduous sparse tree canopy",6,53,122,0.023529,0.207843,0.478431,787,0
"86",36,7409,14735,7409,15479,"Great Lakes Alvar",7409,2409,"He Great Lakes Alvar","Herb","Grassland",671,"Great Lakes Alvar","SAF 37: Northern White-Cedar","Herbaceous / Nonvascular-dominated","Herbaceous - shrub-steppe","Perennial graminoid steppe",216,216,191,0.847059,0.847059,0.74902,3277,0
"87",37,7411,33839,7411,37431,"Great Lakes Wet-Mesic Lakeplain Prairie",7411,2411,"He Great Lakes Wet-Mesic Lakeplain Prairie","Herb","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,7526,0
"88",38,7412,32692,7412,285319,"North-Central Interior Sand and Gravel Tallgrass Prairie",7412,2412,"He North-Central Interior Sand and Gravel Tallgrass Prairie","Herb","Grassland",649,"Tallgrass Prairie","SRM 601: Bluestem Prairie","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,137,64,1,0.537255,0.25098,7271,0
"89",39,7421,25798,7421,8761657,"Central Tallgrass Prairie",7421,2421,"He Central Tallgrass Prairie","Herb","Grassland",649,"Tallgrass Prairie","SRM 601: Bluestem Prairie","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,137,64,1,0.537255,0.25098,5737,0
"90",40,7444,12770,7444,88078,"Eastern Boreal Floodplain Woodland",7444,2444,"Tr Eastern Boreal Floodplain","Tree","Riparian",666,"Eastern Floodplain Forests","SAF 39: Black Ash-American Elm-Red Maple","Tree-dominated","Open tree canopy","Deciduous open tree canopy",50,137,168,0.196078,0.537255,0.658824,2840,0
"91",41,7463,35,7463,10404899,"Central Appalachian Dry Oak Forest",7369,2463,"Tr Central Appalachian Dry Oak Forest","Tree","Hardwood",664,"Chestnut Oak-Virginia Pine Forest and Woodland","SAF 44: Chestnut Oak","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",13,69,133,0.05098,0.270588,0.521569,8,0
"92",42,7464,6614,7464,11521,"Acadian Sub-Boreal Spruce Barrens",7464,2464,"Tr Acadian Near-Boreal Spruce Barrens","Tree","Conifer",692,"Spruce Flats and Barrens","SAF 13: Black Spruce-Tamarack","Tree-dominated","Open tree canopy","Evergreen open tree canopy",186,163,119,0.729412,0.639216,0.466667,1471,0
"93",43,7465,98971,7465,746137,"Acadian Sub-Boreal Spruce Flat",7465,2465,"Tr Acadian Sub-Boreal Spruce Flat","Tree","Conifer",692,"Spruce Flats and Barrens","SAF 33: Red Spruce-Balsam Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",186,54,14,0.729412,0.211765,0.054902,22011,0
"94",46,7502,17,7502,4690175,"Central Appalachian Dry Oak-Pine Forest",7369,2502,"Tr Central Appalachian Dry Oak-Pine Forest","Tree","Conifer-Hardwood",664,"Chestnut Oak-Virginia Pine Forest and Woodland","SAF 44: Chestnut Oak","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",13,69,133,0.05098,0.270588,0.521569,4,0
"95",52,7556,92,7556,3389320,"Central Appalachian Oak Rocky Woodland",7377,2556,"Tr Central Appalachian Rocky Oak Woodland","Tree","Hardwood",664,"Chestnut Oak-Virginia Pine Forest and Woodland","SAF 44: Chestnut Oak","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",13,69,133,0.05098,0.270588,0.521569,20,0
"96",53,7557,28,7557,2058370,"Central Appalachian Pine-Oak Rocky Woodland",7377,2557,"Tr Central Appalachian Rocky Pine-Oak Woodland","Tree","Conifer-Hardwood",664,"Chestnut Oak-Virginia Pine Forest and Woodland","SAF 44: Chestnut Oak","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",13,69,133,0.05098,0.270588,0.521569,6,0
"97",62,7928,76999,7928,361720,"Eastern Cool Temperate Developed Shrubland",7928,2912,"Dsh Developed Shrubland","Shrub","Developed",17,"Developed-Upland Shrubland","LF 20: Developed","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",122,142,245,0.478431,0.556863,0.960784,17124,0
"98",73,7979,2431,7979,3816,"Eastern Cool Temperate Aquaculture",7979,2969,"Da Aquaculture","Agriculture","Agricultural",69,"Agricultural-Aquaculture","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",210,255,237,0.823529,1,0.929412,541,0
"99",74,9039,1161,9039,518680,"Acadian-Appalachian Conifer Seepage Forest",9039,2526,"Tr Laurentian-Acadian Swamp Systems","Tree","Riparian",694,"Atlantic Swamp Forests","SAF 33: Red Spruce-Balsam Fir","Tree-dominated","Open tree canopy","Evergreen open tree canopy",186,54,14,0.729412,0.211765,0.054902,258,0
"100",78,9060,64217,9060,2601988,"Central Appalachian Stream and Riparian Woodland",9060,2472,"Tr Central Interior and Appalachian Riparian Systems","Tree","Riparian",668,"Eastern Small Stream Riparian Forests","SAF 61: River Birch-Sycamore","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",0,92,0,0,0.360784,0,14282,0
"101",79,9064,37,9064,15151,"Central Interior Acidic Cliff and Talus",9064,2497,"Sps Central Interior and Appalachian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,8,0
"102",80,9065,2,9065,8185,"Central Interior Calcareous Cliff and Talus",9065,2497,"Sps Central Interior and Appalachian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,0,0
"103",83,9099,178,9099,455,"Great Lakes Acidic Rocky Shore and Cliff",9099,2499,"Sps Laurentian-Acadian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,40,0
